Date,Price,Marketing_Spend,Economic_Index,Seasonality_Index,Units_Sold,Unit_Cost,Total_Cost,Revenue,Profit,Accounts_Receivable,Inventory,Accounts_Payable,Current_Liabilities,Current_Assets
2023-10-28,50.41168988591605,16234.221521788219,104.06262911197099,0.9133974596215562,32837,20.069521305311905,659022.871102527,1655368.6607838252,996345.7896812982,1876453.507268548,942450.6165188744,866660.2140526383,921174.7025553586,14185225.985822814
2023-11-27,69.39819704323989,20401.360423556216,106.78120014285412,0.95,25372,25.107473025775658,637026.80560998,1760771.0553810825,1123744.2497711023,1632692.377759389,970968.693567741,837733.8813501106,929499.0061295725,15093727.183133624
2023-12-27,66.64885281600843,20934.205586865595,99.63994939209833,1.0,27149,24.17411003148779,656302.913244862,1809449.7051018127,1153146.7918569506,1736650.9039375058,973725.2073616324,863083.2831713252,929122.286419912,16353589.014962582
2024-01-26,54.246782213565524,13697.08911051054,105.01766448946012,1.05,29619,22.221078104707303,658166.1123833256,1606735.4423835971,948569.3300002716,1784662.722840144,1186690.178502817,865533.5176547843,924859.443174777,17563135.135006677
2024-02-25,53.63649934414201,29391.69255529117,101.80818012523817,1.0866025403784438,37838,21.19865367333683,802114.6576917189,2029497.8621836454,1227383.2044919264,1584725.367830397,1244605.237966461,1054835.714224726,1106874.4713024641,18648496.043952502
2024-03-26,53.66809019706868,25502.65646722229,96.77440122697438,1.1,35988,23.37615171403628,841260.9478847376,1931407.2300121076,1090146.2821273701,2001696.5216057873,1581029.4586908128,1106315.7670812989,1185860.414240711,20492037.700579613
2024-04-25,56.08484485919075,28789.97883128378,101.80697802754207,1.0866025403784438,36313,29.429097039125192,1068658.8007817531,2036608.971371794,967950.1705900407,1904949.5967242704,1152758.019013803,1405359.518836278,1489237.7369283922,20934969.506611127
2024-05-25,60.49512863264476,27896.547008552978,107.69018283232984,1.05,33539,23.232029320207552,779179.0313704411,2028946.1192102726,1249767.0878398316,2008710.2183393035,1179899.5185309728,1024673.7946789362,1075503.186125329,22315638.71558316
2024-06-24,58.638900372842315,21957.9995762217,99.82086980445024,1.0,31663,25.18790621743366,797524.674562602,1856683.5025053062,1059158.8279427043,2001152.3367553372,1445913.7125549968,1048799.5720275312,1124404.2249424953,23633253.85596592
2024-07-24,55.82458280396084,28437.484700462337,107.82321827907003,0.9500000000000001,36157,27.030189588951778,977330.5649677294,2018449.440442812,1041118.8754750825,1831249.4819230419,874394.0118369012,1285256.6333822194,1346581.4221421164,23932950.17589061
2024-08-23,62.23705789444759,11769.85004103839,86.90127447955128,0.9133974596215562,25005,23.63629602379294,591025.5820749425,1556237.632650662,965212.0505757194,1990799.4481079788,1340526.1172374666,777239.1216328011,859497.7611532736,25523844.298051834
2024-09-22,52.78987721304084,13919.657248382904,104.10951252187611,0.9,30490,29.717820827209607,906096.357021621,1609563.3562256151,703466.9992039942,1534919.3089157213,1206233.868596007,1191578.770877748,1250297.0923279976,25637138.90942211
2024-10-22,55.84289297070436,10904.54577821076,100.43523534119086,0.913397459621556,27522,29.62447294942111,815324.7445139678,1536908.1003397254,721583.3558257576,1587514.5431266339,986695.220284604,1072207.8831964508,1156754.770101574,26191778.851147376
2024-11-21,57.327236865873836,16506.606615265286,98.50496324767066,0.9499999999999998,29618,22.517822958253642,666932.8803775564,1697918.1014934513,1030985.2211158948,1515854.5647186332,1083097.0434882257,877062.4180307591,946399.1853457859,27247505.917058893
2024-12-21,59.121399684340716,17773.54579378964,100.45880388267751,1.0,29316,24.972485058923855,732093.3719874118,1733202.9531461324,1001109.5811587207,1674658.9494181986,853392.6132229442,962752.9275450895,1059589.4269819262,28177715.452651896
2025-01-20,65.70351922786027,15426.980635477918,90.06215542699553,1.05,25070,23.008783098167697,576830.1922710642,1647187.2270424569,1070357.0347713926,1709460.4469386511,1227526.4867102632,758571.2117537281,815447.2589610277,29657007.85843106
2025-02-19,53.993475643167194,26574.750183038588,98.90164056081244,1.0866025403784438,36314,22.848404943774675,829716.9771282335,1960719.0745059736,1131002.09737774,1624623.0184528343,855375.3271330285,1091134.6548535675,1158187.9724060805,30331021.36774575
2025-03-21,60.28468876827223,17135.066533871784,101.78556285755873,1.1,28385,20.368869473545328,578170.3600065841,1711180.8906874072,1133010.5306808231,1933859.9091017824,1031740.2334545351,760333.6241182475,816007.300180277,31949633.69539703
2025-04-20,61.84829137724085,15618.690193747614,107.38947022370758,1.0866025403784438,26724,26.09564333979897,697379.9726127876,1652833.7387653845,955453.7661525969,1687740.0565684014,1296500.183172224,917102.4297373644,1013337.1106512926,32923727.558733933
2025-05-20,50.92900825439995,20853.92166316497,97.40864890863176,1.05,35016,25.026790232288615,876338.0867738181,1783330.1530360687,906992.0662622505,1630192.1807001051,771331.2803151864,1152444.607264199,1246311.574933248,33248002.846270848
2025-06-19,62.150897038028766,12818.484499495253,95.95753198553406,1.0000000000000002,25414,20.514787512499893,521362.8098426723,1579502.8973244631,1058140.0874817907,1758900.972857492,1225884.3291443856,685627.8047246101,748524.8861103678,34889404.77473923
2025-07-19,53.41048247374583,26043.939615080795,97.49121478207732,0.9500000000000001,36364,22.786464642366113,828607.0002550014,1942218.7846752934,1113611.784420292,1557865.871333717,1291265.2726581488,1089674.9592394538,1172674.1615411628,35867362.401149504
2025-08-18,51.30103185970559,11491.012873595417,104.57701058851038,0.9133974596215562,30011,29.082658859666537,872799.6750374525,1539595.2671416244,666795.5921041719,1915613.0478989196,1005593.9678394797,1147791.3534739101,1238652.4634839708,36606233.8650002
2025-09-17,68.97771074506667,29737.738732010344,101.64375554829843,0.9,30350,22.395618906669725,679707.0338174262,2093473.5211127736,1413766.4872953473,1518504.9210163965,892132.8820368557,893861.3047462043,971621.3453261774,37509431.13961041
2025-10-17,69.31264066149119,25444.89538593315,97.3511989811648,0.9133974596215562,28114,21.44894872091223,603015.7443397265,1948655.5795571632,1345639.8352174368,2064795.8016454754,878549.0223993682,793007.0062549827,869489.535172783,39387777.995819435
2025-11-16,66.16794696232922,13974.313630683448,102.56633716556678,0.95,23854,24.894527602775632,593834.06143661,1578370.2068394013,984536.1454027913,1921961.667508435,0.0,780932.4643549938,843025.0789000164,39350930.98468582
